Widget ID,Conversions,Cost
57500802,8,28.609001
57337053s1135075225,7,131.878005
57167305,4,14.36
57132187,3,4.669
57077305,3,10.69
57406821,3,4.647
57411886,3,8.996
57500803,3,13.252001
57337053s390178939,3,27.130001
57174818s1029744319,3,5.167
5753130,2,11.406
57473917,2,1.977
57486416,2,12.493001
57497925,2,15.243001
57492832,2,2.625
57493127,2,4.922
57482445,2,0.825
57473922,2,3.15
57464202,2,3.419
57451633,2,14.801001
57153647,2,0.975
57334897,2,5.501
57496156,2,12.684
57135768,2,18.779001
57143418,2,11.836
57225889,1,0.276
57486529,1,1.179
57483903,1,9.265
57477954,1,2.62
57433813,1,1.268
5721951,1,0.075
57216180,1,5.265
57497928,1,6.691
57211993,1,1.302
57488250,1,1.875
57497160,1,0.6
57440324,1,2.658
57377086,1,0.3
57095589,1,5.046
57111931,1,0.403
57267764,1,2.287
57449082,1,0.075
57497351,1,0.293
57136179,1,11.937
57350758,1,4.773
57491895,1,3.659
57477952,1,1.163
57337245,1,0.075
57490284,1,4.65
57110777,1,4.695
57462586,1,0.743
5568244,1,0.375
57321722,1,0.3
57046391,1,0.77
57480401,1,9.938
57415851,1,7.675
57501125,1,0.825
57205090,1,17.137001
57492845,1,0.586
57482460,1,0.639
57309916,1,6.286
57295592,1,0.106
57497846,1,10.468
57484680,1,0.518
57135024,1,1.943
57482332,1,1.621
57295547s3765941761,1,0.15
57465584,1,3.745
57446368,1,0.225
57174818,1,0.361
57424965,1,1.847
57368129,1,0.225
57431671,1,1.096
57397792,1,0.775
57397154,1,2.025
57171411,1,0.375
57498036,1,2.188
57139077,1,16.329001
57313035,1,0.272
57306971,1,0.075
57373538,1,0.068
57483476,1,0.905
57426573,1,0.075
57486359,1,8.346
57111085,1,8.499
57337053s986212483,1,17.414001
57387073,1,0.15
57353678,1,16.006001
57316559,1,5.197
57263223,1,1.826
57498297,1,1.186
57482410,1,15.278001
57490278,1,3.668
57249308,1,0.075
57404790,1,0.971
57353691,1,20.578001
57322149,1,5.621
57488164,1,1.108
57410436,1,0.375
5767184,1,2.747
57491896,1,1.737
